"Yazar", "Alıntı"
"Dalai Lama", "Mümkün olduğunca nazik olun. Bu her zaman mümkündür."
"Çin atasözü", "Konuşmakla pirinç pişmez."
"Buda", "Yapabileceğini düşünen yapabilir."
"Larry Elder", "Planı olmayan bir hedef sadece bir dilektir."
"Michael Korda", "Başarmak için önce yapabileceğimize inanmalıyız."
"Albert Einstein", "Dünden öğren, bugün için yaşa, yarın için umut et."
"James Lowell", "Bir ot, kılık değiştirmiş bir çiçekten daha fazlası değildir."
"Yoda", "Yap ya da yapma. Denemek yok."
"Harriet Beecher Stowe", "Bütün ciddi cesaretler içeriden başlar."
"Byron Pulsifer", "En iyi öğretmen başarısızlıklardan öğrenilen tecrübedir."
"Murray Gell-Mann", "Parçacıklar düşünebilseydi fiziğin ne kadar zor olacağını bir düşünün."
"John Lennon", "Sevgi, büyümesine izin vermeniz gereken bir çiçektir."
"Napoleon Hill", "Beklemeyin. Zaman asla doğru olmayacaktır."
"Pericles", "Zaman en bilge danışmandır."
"Napoleon Hill", "Almadan önce vermelisin."
"Sokrates", "Bilgelik merakla başlar."
"Baltasar Gracian", "Cesaret olmadan, bilgelik meyve vermez."
"Aristotle", "Her şeyde değişim tatlıdır."
"Byron Pulsifer", "Korktuğunuz şey, üstesinden gelmek için eylem gerektiren şeydir."
"Cullen Hightower", "Performans hırsı aştığında, örtüşme başarı olarak adlandırılır."
"Afrika atasözü", "Eylemler konuştuğunda, kelimeler hiçbir şey değildir."
"Wayne Dyer", "İlişkilerde gerçek sihir, başkalarını yargılamamak demektir."
"Albert Einstein", "Ben asla geleceği düşünmem. Yeterince çabuk gelir."
"Ralph Emerson", "Yapma becerisi, yapmaktan gelir."
"Sophocles", "Bilgelik mutluluğun en yüce parçasıdır."
"Maya Angelou", "Her insanın yetenekle doğduğuna inanıyorum."
"Abraham Lincoln", "Önemli ilkeler esnek olmayabilir ve olmalıdır."
"Richard Evans", "Yeni bir eyleme girişmek yeni bir güç getirir."
"Ralph Emerson", "Yıllar, günlerin asla bilemeyeceği çok şey öğretir."
"Ralph Emerson", "Güvensizliğimiz çok pahalıdır."
"Bodhidharma", "Herkes yolu bilir; çok azı gerçekten yürür."
"Johann Wolfgang von Goethe", "Büyük yetenek mutluluğu uygulamada bulur."
"Michelangelo", "İnsanın kendine olan inancı en iyi ve en güvenli yoldur."
"Winston Churchill", "Cesaret, hevesini kaybetmeden başarısızlıktan başarısızlığa gitmektir."
"Leo Tolstoy", "En güçlü iki savaşçı sabır ve zamandır."
"Lao Tzu", "Kolay olanı yöneterek zor olanı öngörün."
"Buddha", "Kızgın düşüncelerden arınmış olanlar kesinlikle huzur bulurlar."
"Sofokles", "Kısa bir söz genellikle çok fazla bilgelik içerir."
"", "Bir gökkuşağı yapmak için hem güneş ışığı hem de yağmur gerekir."
"Güzel bir şey asla mükemmel değildir."
"Prenses Diana", "Sadece kalbinin söylediğini yap."
"John Pierrakos", "Hayat harekettir - nefes alırız, yemek yeriz, yürürüz, hareket ederiz!"
"Eleanor Roosevelt", "Kimse sizin rızanız olmadan size kendinizi aşağılık hissettiremez."
"Richard Bach", "Sınırlarınızı savunun ve emin olun ki onlar sizindir."
"Seneca", "Şans, hazırlık fırsatla buluştuğunda ortaya çıkan şeydir."
"Napoleon Bonaparte", "Zafer en azimli olana aittir."
"William Shakespeare", "Herkesi sev, birkaçına güven, hiçbirine yanlış yapma."
"Richard Bach", "Kazanmak için, kazanmayı beklemelisiniz."
"Napoleon Hill", "Hedef, son tarihi olan bir rüyadır."
"Napoleon Hill", "Yapabileceğine inanırsan yapabilirsin!"
"Bo Jackson", "Hedeflerinizi yüksek tutun ve oraya ulaşana kadar durmayın."
"", "Her yeni gün, hayatınızı değiştirmek için bir başka şanstır."
"Thich Nhat Hanh", "Gülümseyin, nefes alın ve yavaşça ilerleyin."
"Liberace", "Siz kendinize inanmadıkça kimse size inanmayacaktır."
"William Arthur Ward", "Hayal etmekten fazlasını yapın: çalışın."
"Seneca", "Hiç kimse şans eseri bilge olmamıştır."
"", "Bazıları mutluluğun peşinden koşar, diğerleri onu yaratır."
"William Shakespeare", "Başı dönen dünyanın döndüğünü sanır."
"Ellen Gilchrist", "Yıkılmış geçmişle bugünü mahvetme."
"Albert Schweitzer", "Harika bir şey yap, insanlar onu taklit edebilir."
"Yaptığımız şeyi inandığımız için yaparız."
"Eleanor Roosevelt", "Her gün sizi korkutan bir şey yapın."
"Byron Pulsifer", "Eğer sessiz olamıyorsanız, zeki ve düşünceli olun."
"Carl Jung", "Dışarıya bakan, rüya görür; içine bakan, uyanır."
"Buddha", "Ne düşünürsek, o oluruz."
"Lord Herbert", "En kısa cevap yapmaktır."
"Leonardo da Vinci", "Tüm bilgimizin kökeni algılarımızdadır."
"", "Ne kadar sert düşersen, o kadar yükseğe zıplarsın."
"Anne Wilson Schaef", "Sezgilerimize güvenmek çoğu zaman bizi felaketten kurtarır."
"Sojourner Truth", "Gerçek güçlüdür ve galip gelir."
"Elizabeth Browning", "Yarını bugünle aydınlat!"
"Alman atasözü", "Sessizlik bilgeliğin etrafındaki çittir."
"Madame de Stael", "Toplum zekâyı geliştirir, ama onun tefekkürü tek başına dehayı oluşturur."
"Richard Bach", "En basit şeyler genellikle en doğru olanlardır."
"", "Herkes aynı dilde gülümser.""
"Bernadette Devlin", "Dün mücadele etmeye cesaret ettim. Bugün kazanmaya cesaret ediyorum."
"Napoleon Hill", "Hiçbir mazeret sizi sorumluluğu kabul etmekten kurtaramaz."
"Walt Disney", "Eğer hayal edebiliyorsan, yapabilirsin."
"Buddha", "İyi seyahat etmek, varmaktan daha iyidir."
"Anais Nin", "Hayat, kişinin cesaretiyle orantılı olarak küçülür ya da genişler."
"Sun Tzu", "Kendinize inanmalısınız."
"Wayne Dyer", "Niyetimiz gerçekliğimizi yaratır."
"Konfüçyüs", "Sessizlik, asla ihanet etmeyen gerçek bir dosttur."
"Johann Wolfgang von Goethe", "Karakter kendini hayatın akışı içinde geliştirir."
"Amerikan atasözü", "Küçük meşe palamutlarından güçlü meşeler büyür."
"Jon Kabat-Zinn", "Dalgaları durduramazsınız, ama sörf yapmayı öğrenebilirsiniz."
"Gustave Flaubert", "Gerçeklik ideale uymaz, onu doğrular."
"William Shakespeare", "Alçak sesle konuş, eğer aşktan bahsediyorsan."
"Johann Wolfgang von Goethe", "Gerçekten büyük bir yetenek, mutluluğunu uygulamada bulur."
"John Lennon", "Gerçeklik hayal gücüne çok şey bırakır."
"Seneca", "Öfkenin en büyük ilacı ertelemektir."
"Pearl Buck", "Büyümenin kendisi mutluluğun tohumunu içerir."
"", "Makul olanı yapabilir ya da mümkün olana karar verebilirsiniz."
"Leonardo da Vinci", "Hiçbir şey otoriteyi sessizlik kadar güçlendiremez."
"Konfüçyüs", "Nereye gidersen git, tüm kalbinle git."
"Albert Einstein", "Gerçek değerli olan tek şey sezgidir."
"Ralph Emerson", "İyi şans, amaç azminin diğer adıdır."
"Sylvia Voirol", "Gökkuşakları kızgın gökyüzü için özür diler."
"", "Arkadaşlık büyük bir şey değildir. Milyonlarca küçük şeydir."
"Theophrastus", "Zaman bir insanın harcayabileceği en değerli şeydir."
"Tony Robbins", "Ne olursa olsun, sorumluluk al."
"Oscar Wilde", "Deneyim sadece hatalarımıza verdiğimiz isimdir."
"Wayne Dyer", "Düşünüyorum ve olduğum tek şey bu."
"", "Bugün iyi bir plan, yarın mükemmel bir plandan daha iyidir."
"Gloria Steinem", "Eğer ayakkabı uymuyorsa, ayağı değiştirmeli miyiz?"
"Marcus Aurelius", "Her gün kendi hediyelerini sunar."
"Publilius Syrus", "Düşünmek için durduğumuzda, genellikle fırsatımızı kaçırırız."
"Bernard Shaw", "Hayat kendini bulmak değildir. Hayat kendini yaratmaktır."
"Richard Bach", "Hayatınıza bir şey katmak için, onun zaten orada olduğunu hayal edin."
"Alman Atasözü", "Dokumaya başlayın, Tanrı size ipliği verecektir."
"Konfüçyüs", "Kendini ne kadar çok tanırsan, o kadar çok affedersin."
"", "Birileri hatırlar, birileri önemser; adınız birilerinin dualarında fısıldanır."
"Mary Bethune", "İnanç olmadan hiçbir şey mümkün değildir. Onunla, hiçbir şey imkansız değildir."
"Albert Einstein", "Sınırlarımızı kabul ettiğimizde, onların ötesine geçeriz."
"", "Sorunlarınız tarafından itilmeyin; hayalleriniz tarafından yönlendirilin."
"Brian Tracy", "Güvenle beklediğimiz her şey kendi kendini gerçekleştiren kehanetimiz olur."
"Pablo Picasso", "Hayal edebildiğiniz her şey gerçektir."
"Usman Asif", "Korku, negatiflerin geliştiği bir karanlık odadır."
"Napoleon Bonaparte", "En gerçek bilgelik, kesin bir kararlılıktır."
"Victor Hugo", "Hayat, sevginin bal olduğu bir çiçektir."
"Epictetus", "Özgürlük, dilediğimiz gibi yaşama hakkıdır."
"", "Düşüncelerini değiştir, hayatını değiştir!"
"Robert Heller", "İçinizden gelen bir hissi asla görmezden gelmeyin, ama asla yeterli olduğuna da inanmayın."
"Marcus Aurelius", "Kayıp değişimden başka bir şey değildir ve değişim doğanın zevkidir."
"Byron Pulsifer", "Birisi ancak siz ona söylerseniz özeldir."
"", "Bugün, dün için endişelendiğin yarındır."
"Thich Nhat Hanh", "Mutluluğa giden bir yol yoktur, mutluluk bir yoldur."
"", "Bir gülümsemenin arkasından gün her zaman daha parlak görünür."
"", "Bir tökezleme bir düşüşü önleyebilir."
"Lao Tzu", "Daha çok konuşan daha çabuk tükenir."
"Lao Tzu", "Kanaatkar olan zengindir."
"Plutarch", "İçsel olarak başardığımız şey dış gerçekliği değiştirecektir."
"Ralph Waldo Emerson", "Gücümüz zayıflıklarımızdan doğar."
"Mahatma Gandhi", "Görmek istediğimiz değişim olmalıyız."
"Napoleon Hill", "Mutluluk sadece sahip olmakta değil, yapmakta bulunur."
"Geleceğinizi emin ellere teslim edin: Kendi geleceğinizi."
"Wit", "Kaderimizi başkalarına nasıl davranacağımıza göre seçeriz."
"Voltaire", "Çığdaki hiçbir kar tanesi kendini sorumlu hissetmez."
"Virgil", "Talih cesurların yanındadır."
"Joseph Stalin", "Sadece bir şeye inanıyorum, insan iradesinin gücüne."
"Robert Frost", "En iyi çıkış yolu her zaman içinden geçmektir."
"Seneca", "Zihin uzun zamandır öğrendiği şeyleri zorlukla öğrenir."
"Abraham Lincoln", "Düşmanlarımı dost edindiğimde onları yok ederim."
"Thomas Fuller", "Hiçbir bahçe yabani otsuz değildir."
"Elbert Hubbard", "Artık denememek dışında başarısızlık yoktur."
"Türk Atasözü", "Nazik sözler demir kapının kilidini açar."
"Hugh Miller", "Problemler sadece üzerinde diken olan fırsatlardır."
"A. Powell Davies", "Hayat bir ruhu büyütmek için sadece bir şanstır."
"Johann Wolfgang von Goethe", "Dağlar, dolambaçlı yollar dışında aşılamaz."
"Thich Nhat Hanh", "Kalplerimizin uyanış bahçesi yüzlerce çiçek açsın."
"John Dryden", "Talih cesurların dostudur."
"Friedrich von Schiller", "Gençliğinizin hayallerine sadık kalın."
"Mike Ditka", "Denemekten vazgeçene kadar asla kaybeden olmazsın."
"Immanuel Kant", "Bilim organize bilgidir. Bilgelik ise düzenli yaşamdır."
"Johann Wolfgang von Goethe", "Bilmek yeterli değildir; uygulamalıyız!"
"Richard Bach", "Güçlü inançlar güçlü insanları kazanır ve sonra onları daha güçlü yapar."
"Albert Camus", "Sonbahar, her yaprağın bir çiçek olduğu ikinci bir bahardır."
"Toni Morrison", "Eğer rüzgara teslim olursan, ona binebilirsin."
"Helen Keller", "Kendini güneş ışığına tutarsan gölgeyi göremezsin."
"Paulo Coelho", "Planlarınızı kurşun kalemle yazın ve silgiyi Tanrı'ya verin."
"Pablo Picasso", "İlham vardır, ama bizi çalışırken bulmalıdır."
"Jonathan Kozol", "Önemli olacak kadar büyük, kazanacak kadar küçük savaşlar seçin."
"Janis Joplin", "Kendinizden ödün vermeyin. Sahip olduğun tek şey sensin."
"Sophocles", "Kısa bir söz çoğu zaman çok bilgelik içerir."
"Epictetus", "Zorluklar insana ne olduğunu gösteren şeylerdir."
"Honore de Balzac", "Gücünüzden şüphe ettiğinizde, şüphelerinize güç verirsiniz."
"Ovid", "Sebep gizlidir. Sonuç herkes tarafından görülebilir."
"Francis Bacon", "İhtiyatlı bir soru, bilgeliğin yarısıdır."
"Tony Robbins", "Başarıya giden yol, büyük ve kararlı bir şekilde harekete geçmektir."
"Manuel Puig", "Sezgilerimin bana yol göstermesine izin veriyorum."
"William R. Inge", "Doğa kullanılmayan her yetiyi alıp götürür."
"Epictetus", "Eğer yazar olmak istiyorsan, yaz."
"Wayne Dyer", "Refaha giden bir yol yoktur, refah yoldur."
"Jim Rohn", "Ya siz günü yönetirsiniz ya da gün sizi yönetir."
"Publilius Syrus", "Bir konuda cahil olmak, onu yarım bilmekten daha iyidir."
"Oprah Winfrey", "İçgüdülerinizi takip edin. Gerçek bilgelik burada kendini gösterir."
"Benjamin Franklin", "Kötü çelikten yapılmış iyi bir bıçak asla olmamıştır."
"Anatole France", "Büyük işler başarmak için hayal kurmanın yanı sıra harekete de geçmeliyiz."
"Aziz Augustine", "Sabır bilgeliğin yoldaşıdır."
"Buddha", "Zihin her şeydir. Ne düşünürsen o olursun."
"Voltaire", "Hayattan zevk almak için, onun çoğuna hafifçe dokunmalıyız."
"Maya Lin", "Uçmak için, dirençli olmalıyız."
"", "Ne gördüğünüz, ne aradığınıza bağlıdır."
"Blaise Pascal", "Kalbin, aklın bilmediği nedenleri vardır."
"William Shakespeare", "Düşüncede olduğu gibi eylemde de büyük ol."
"Napoleon Bonaparte", "Hayal gücü dünyayı yönetir."
"Blaise Pascal", "Nazik sözler çok pahalı değildir. Yine de çok şey başarırlar."
"Michelangelo", "Boşa harcanan zamandan daha büyük bir zarar yoktur."
"Jonas Salk", "Sezgi, düşünen zihne bir sonraki adımda nereye bakması gerektiğini söyleyecektir."
"", "Endişe küçük bir şeye büyük bir gölge verir."
"Napoleon Hill", "Korkular bir zihin durumundan başka bir şey değildir."
"Lao Tzu", "Binlerce kilometrelik yolculuk bir adımla başlar."
"Peter Drucker", "Verimlilik işleri doğru yapmaktır; etkinlik ise doğru şeyleri yapmaktır."
"Luisa Sigea", "Hiç sönmeyen ateşle alevlenin."
"Dr. Seuss", "Bittiği için ağlamayın. Gülümse çünkü oldu."
"Jason Fried", "Hayır yapmak daha kolaydır. Evet demek daha kolaydır."
"Konfüçyüs", "Hatırlamaya devam etmedikçe yanılmak bir şey değildir."
"Babe Ruth", "Dünün sayıları bugünün maçlarını kazandırmaz."
"Carlyle", "Sessizlik sonsuzluk kadar derin, konuşma ise zaman kadar sığdır."
"Leo F. Buscaglia", "Birbirinizi boğmayın. Gölgede kimse büyüyemez."
"Lao Tzu", "Hareket halindeki bir karınca, uyuklayan bir öküzden daha fazlasını yapar."
"Indira Gandhi", "Sıkılı bir yumrukla el sıkışamazsınız."
"Platon", "İyi bir karar sayılara değil, bilgiye dayanır."
"Konfüçyüs", "Tedbirli olan nadiren hata yapar."
"Frederick Douglass", "Mücadele yoksa, ilerleme de yoktur."
"Willa Cather", "Büyük sevginin olduğu yerde, her zaman mucizeler vardır."
"John Lennon", "Boşa harcamaktan zevk aldığınız zaman, boşa harcanmamıştır."
"Richard Bach", "Her problemin elinde sizin için bir hediye vardır."
"Jean de la Fontaine", "Hüzün zamanın kanatlarında uçup gider."
"Publilius Syrus", "Konuştuğum için sık sık pişman oldum, sessizliğim için asla."
"Thomas Jefferson", "Bugün yapabileceğin bir şeyi asla yarına bırakma."
"Thomas Dewar", "Zihinler paraşüt gibidir. Sadece açıkken çalışırlar."
"George Patton", "Eğer bir insan elinden gelenin en iyisini yaparsa, başka ne olabilir ki?"
"Benjamin Disraeli", "Başarının sırrı amaca bağlılıktır."
"Ralph Emerson", "Hayat bir ilerlemedir, bir durak değil."
"Horace Friess", "Mutluluğu içinde taşıyan kişi için tüm mevsimler güzeldir."
"Elbert Hubbard", "Eleştiriden kaçınmak için hiçbir şey yapmayın, hiçbir şey söylemeyin, hiçbir şey olmayın."
"Ovid", "Her şey değişir; hiçbir şey yok olmaz."
"Haynes Bayly", "Yokluk kalbi daha da büyütür."
"Lauren Bacall", "Hayal gücü uçurulabilecek en yüksek uçurtmadır."
"Frank Herbert", "Bilginin başlangıcı, anlamadığımız bir şeyi keşfetmektir."
"Elizabeth Browning", "Aşk dünyayı döndürmez, aşk yolculuğu değerli kılan şeydir."
"Arthur Conan Doyle", "İmkânsızı elediğinizde, geriye ne kalırsa kalsın, ne kadar imkânsız olursa olsun, gerçek olmalıdır."
"J. Willard Marriott", "İyi kereste kolay yetişmez; rüzgar ne kadar güçlü olursa, ağaçlar da o kadar güçlü olur."
"Dalai Lama", "Temelde aynı olduğumuza ve aynı temel potansiyele sahip olduğumuza inanıyorum."
"Edward Gibbon", "Rüzgarlar ve dalgalar her zaman en yetenekli denizcilerin yanındadır."
"Eleanor Roosevelt", "Gelecek, hayallerinin güzelliğine inananlara aittir."
"", "Hiç sahip olmadığınız bir şeyi elde etmek için, hiç yapmadığınız bir şeyi yapmanız gerekir."
"", "Bir şeyi bilmediğinizde şükredin, çünkü bu size öğrenme fırsatı verir."
"Mahatma Gandhi", "Güç fiziksel kapasiteden gelmez. Yılmayan bir iradeden gelir."
"Og Mandino", "Karşılaştığınız her talihsizlik, içinde yarının iyi şansının tohumlarını taşıyacaktır."
"Lewis B. Smedes", "Affetmek, bir mahkumu serbest bırakmak ve o mahkumun siz olduğunuzu fark etmektir."
"Buddha", "Ayrılıkta dünyanın büyük sefaleti, şefkatte ise dünyanın gerçek gücü yatar."
"Nikos Kazantzakis", "Henüz var olmayan bir şeye tutkuyla inanarak onu yaratırız."
"", "Bırakmak dünyanın sonu değildir; yeni bir hayatın başlangıcıdır."
"John Eliot", "Birlikte çalıştığım tüm büyük sanatçılar kişisel bir hayalden besleniyor."
"A. A. Milne", "Düzensiz olmanın avantajlarından biri de insanın sürekli heyecan verici keşifler yapmasıdır."
"Marie Curie", "Ben asla ne yapıldığını görmem; ben sadece ne yapılması gerektiğini görürüm."
"Seneca", "Bir an önce yaşamaya başlayın ve her günü ayrı bir hayat olarak sayın."
"Lawrence Peter", "Nereye gittiğinizi bilmiyorsanız, muhtemelen başka bir yere varırsınız."
"Hannah More", "Her şeyi bilmek, öğrendiklerimizi takdir etmek kadar önemli değildir."
"John Berry", "Cennet kuşu sadece kavramayan elin üzerine konar."
"William Yeats", "Bilge bir adam gibi düşünün ama halkın diliyle iletişim kurun."
"Epictetus", "Tanrı aşkına, küçük şeylerde alıştırma yap ve sonra daha büyüklerine geç."
"Seneca", "Hangi limana yelken açtığını bilmeyen biri için hiçbir rüzgar elverişli değildir."
"", "En büyük zaferimiz asla başarısız olmamak değil, her düştüğümüzde ayağa kalkmaktır."
"", "Haklı olmak çok abartılıyor. Durmuş bir saat bile günde iki kez doğruyu gösterir."
"Ken S. Keyes", "Sahip olmadıklarınız için üzülmek, sahip olduklarınızı boşa harcamaktır."
"Thomas Edison", "Yapabileceğimiz şeyleri yapsaydık, kendimizi hayrete düşürürdük."
"Marie Curie", "Hayatta korkulacak hiçbir şey yoktur. Sadece anlaşılması gerekir."
"Tony Robbins", "Başarılı insanlar daha iyi sorular sorar ve sonuç olarak daha iyi cevaplar alırlar."
"", "Sevgi kör değildir; sadece başkalarının göremediği şeyleri görmeyi sağlar."
"Anne Schaef", "Hayat bir süreçtir. Biz bir süreçiz. Evren bir süreçtir."
"Eleanor Roosevelt", "Bence bir şekilde gerçekte kim olduğumuzu öğreniyoruz ve sonra bu kararla yaşıyoruz."
"Kenneth Patton", "Ne söylediğimizi, konuşmamızı dinleyenlerden öğreniriz."
"Kahlil Gibran", "Harekete geçiren az bir bilgi, boşta kalan çok bilgiden sonsuz derecede daha değerlidir."
"", "Düştüğünüzden bir kez daha fazla kalkarsanız, başarırsınız."
"Flora Whittemore", "Her gün açtığımız ve kapattığımız kapılar, yaşadığımız hayatları belirler."
"H. W. Arnold", "Dünyadaki en kötü iflas, heyecanını kaybetmiş kişidir."
"Buddha", "Mutluluk, çalışmalarınız ve sözleriniz kendinize ve başkalarına fayda sağladığında gelir."
"", "Doğru kararı vermeye odaklanmayın, doğru kararı vermeye odaklanın."
"Wayne Dyer", "Evrende her şey mükemmeldir, sizin onu geliştirme arzunuz bile."
"Eden Phillpotts", "Evren sihirli şeylerle doludur ve sabırla aklımızın keskinleşmesini bekler."
"Buddha", "Nasıl ki bir mum ateş olmadan yanamazsa, insan da manevi bir yaşam olmadan yaşayamaz."
"Mark Twain", "Uzun zamandır beklenen bir şey, sonunda geldiğinde beklenmedik bir şekil alır."
"Benjamin Disraeli", "Eylem her zaman mutluluk getirmeyebilir; ama eylemsiz mutluluk yoktur."
"Oprah Winfrey", "Ben başarısızlığa inanmam. Eğer süreçten keyif aldıysanız bu başarısızlık değildir."
"Konfüçyüs", "Kendinize yapılmasını istemediğiniz şeyi, başkalarına yapmayın."
"Winston Churchill", "Kısa sözler en iyisidir ve kısa olduğunda eski sözler hepsinden daha iyidir."
"Buddha", "Eğer birisi için bir lamba yakarsanız, bu sizin yolunuzu da aydınlatacaktır."
"Lin-yutang", "Elimden gelenin en iyisini yaptım: bir insanın ihtiyacı olan tüm yaşam felsefesi budur."
"Benjamin Disraeli", "Azim sayesinde pek çok insan kesin bir başarısızlık gibi görünen bir durumdan başarıya ulaşır."
"Byron Pulsifer", "Bizi yeni ufuklara ulaştıran hayat yağmuru için şükredin."
"", "Aşk, biri gelip ona anlam verene kadar sadece bir kelimedir."
"", "Hepimizin sorunları var. Bizi farklı kılan onları çözme biçimimizdir."
"Dave Weinbaum", "Zengin bir hayatın sırrı, sonlardan çok başlangıçlara sahip olmaktır."
"Ralph Waldo Emerson", "Sadece zihin ve karakter uyuduğunda elbise görülebilir."
"Maya Angelou", "Eğer bir şeyi sevmiyorsanız, değiştirin. Eğer değiştiremiyorsanız, tavrınızı değiştirin."
"Konfüçyüs", "Öğrendiklerinizi gözden geçirerek ve yeniden öğrenerek, öğretmen olmaya uygun olursunuz."
"Augustinus Sanctus", "Dünya bir kitaptır ve seyahat etmeyenler sadece bir sayfasını okurlar."
"Henri-Frederic Amiel", "Bir insan kendini yenileyebildiği sürece yaşayan bir varlıktır."
"Louisa Alcott", "Fırtınalardan korkmuyorum, çünkü gemimi nasıl yüzdüreceğimi öğreniyorum."
"Voltaire", "Kendiniz için düşünün ve başkalarının da bunu yapma ayrıcalığından yararlanmasına izin verin."
"Annie Dillard", "Günlerimizi nasıl geçirdiğimiz, elbette hayatlarımızı da nasıl geçirdiğimizdir."
"Man Ray", "Benim amacım hiçbir zaman hayallerimi kaydetmek olmadı, sadece onları gerçekleştirmekti."
"Sigmund Freud", "Düşüncenin en karmaşık başarıları, bilincin yardımı olmadan mümkündür."
"Wayne Dyer", "Mutsuz olun. Ya da kendinizi motive edin. Yapılması gereken her ne ise, bu her zaman sizin seçiminizdir."
"Napoleon Hill", "Çoğu büyük insan en büyük başarılarına, en büyük başarısızlıklarının sadece bir adım ötesinde ulaşmışlardır."
"Henry Ford", "Eğer yapabileceğinizi düşünüyorsanız, yapabilirsiniz. Ve eğer yapamayacağınızı düşünüyorsanız, haklısınızdır."
"Aziz Augustine", "Sevmiş ve kaybetmiş olmak, hiç sevmemiş olmaktan daha iyidir."
"Leo Tolstoy", "Herkes dünyayı değiştirmeyi düşünür, ama kimse kendini değiştirmeyi düşünmez."
"Richard Bach", "Güzel bir anın bedelini ödemenin en iyi yolu, onun tadını çıkarmaktır."
"Winston Churchill", "Düşmanlarınız mı var? Güzel. Bu, hayatınızın bir döneminde bir şeyler için mücadele ettiğiniz anlamına gelir."
"John De Paola", "Yavaşla, peşinde olduğun her şey dönüp dolaşıp seni yakalayacaktır."
"Buddha", "En kötü düşmanınız, size kendi savunmasız düşünceleriniz kadar zarar veremez."
"Lily Tomlin", "Her zaman önemli biri olmak istedim, ama daha açık olmalıydım."
"John Lennon", "Evet hepimiz parlıyoruz, ay, yıldızlar ve güneş gibi."
"Martin Fischer", "Bilgi, gerçekleri yığma sürecidir; bilgelik ise onların basitleştirilmesinde yatar."
"Albert Einstein", "Hayat bisiklete binmek gibidir. Dengenizi korumak için hareket etmeye devam etmelisiniz."
"Albert Schweitzer", "Hepimiz içimizdeki ruhu canlandıran insanlar için minnettar olmalıyız."
"Thomas Edison", "Fırsat çoğu kişi tarafından kaçırılır çünkü tulum giymiştir ve iş gibi görünür."
"Albert Einstein", "Duygu ve özlem, tüm insan çabalarının ve insan yaratımlarının ardındaki itici güçlerdir."
"Johann Wolfgang von Goethe", "Sonunda çalışmalarımızdan yalnızca pratik olarak uyguladıklarımızı hatırlarız."
